50,0.0000117,0.0000018,0.0007666,0.0007801
100,0.0000114,0.0000027,0.0007092,0.0007233
150,0.0000297,0.0000034,0.0006499,0.0006831
200,0.0000337,0.0000060,0.0007503,0.0007899
250,0.0000344,0.0000076,0.0009049,0.0009469
300,0.0000412,0.0000074,0.0006616,0.0007102
350,0.0000567,0.0000086,0.0006736,0.0007389
400,0.0000470,0.0000102,0.0007063,0.0007635
450,0.0000481,0.0000124,0.0008938,0.0009543
500,0.0000678,0.0000151,0.0008671,0.0009500
550,0.0000757,0.0000120,0.0006279,0.0007157
600,0.0000776,0.0000133,0.0007222,0.0008131
650,0.0000822,0.0000144,0.0006151,0.0007118
700,0.0000966,0.0000165,0.0007440,0.0008571
750,0.0001147,0.0000187,0.0007399,0.0008733
800,0.0000946,0.0000206,0.0008054,0.0009206
850,0.0000907,0.0000223,0.0008465,0.0009595
900,0.0000957,0.0000263,0.0007812,0.0009032
950,0.0000948,0.0000262,0.0008817,0.0010027
1000,0.0000977,0.0000283,0.0008669,0.0009928
1050,0.0001026,0.0000304,0.0009012,0.0010342
1100,0.0001315,0.0000319,0.0010201,0.0011835
1150,0.0001252,0.0000260,0.0005844,0.0007356
1200,0.0001237,0.0000268,0.0006810,0.0008315
1250,0.0001517,0.0000279,0.0007080,0.0008875
1300,0.0001281,0.0000288,0.0007061,0.0008631
1350,0.0001576,0.0000311,0.0007132,0.0009019
1400,0.0001335,0.0000330,0.0007196,0.0008861
1450,0.0001334,0.0000360,0.0008223,0.0009917
1500,0.0001374,0.0000366,0.0007734,0.0009474
1550,0.0001415,0.0000390,0.0008293,0.0010098
1600,0.0001485,0.0000452,0.0007592,0.0009529
1650,0.0001245,0.0000469,0.0007351,0.0009064
1700,0.0001533,0.0000434,0.0007745,0.0009713
1750,0.0001615,0.0000491,0.0008254,0.0010359
1800,0.0001341,0.0000517,0.0007794,0.0009652
1850,0.0001785,0.0000509,0.0008500,0.0010794
1900,0.0001403,0.0000535,0.0009093,0.0011031
1950,0.0001633,0.0000834,0.0007957,0.0010424
2000,0.0001922,0.0000598,0.0010100,0.0012621
2050,0.0001746,0.0000610,0.0008446,0.0010801
2100,0.0002149,0.0000616,0.0009188,0.0011952
2150,0.0001817,0.0000669,0.0009021,0.0011506
2200,0.0001772,0.0000660,0.0009063,0.0011495
2250,0.0002203,0.0000693,0.0008930,0.0011826
2300,0.0002241,0.0000904,0.0010602,0.0013747
2350,0.0002310,0.0000742,0.0009523,0.0012575
2400,0.0002240,0.0000513,0.0006105,0.0008858
2450,0.0002769,0.0000526,0.0006724,0.0010020
2500,0.0002775,0.0000570,0.0006999,0.0010344
2550,0.0002668,0.0000544,0.0006416,0.0009628
2600,0.0002646,0.0000572,0.0006477,0.0009695
2650,0.0002490,0.0000628,0.0006547,0.0009665
2700,0.0003160,0.0000602,0.0006635,0.0010397
2750,0.0002829,0.0000633,0.0006893,0.0010355
2800,0.0002636,0.0000626,0.0007592,0.0010853
2850,0.0002984,0.0000649,0.0006872,0.0010504
2900,0.0002521,0.0000716,0.0006810,0.0010048
2950,0.0002814,0.0000694,0.0007162,0.0010669
3000,0.0003070,0.0000689,0.0007084,0.0010843
3050,0.0003211,0.0000749,0.0007171,0.0011132
3100,0.0002820,0.0000764,0.0007519,0.0011102
3150,0.0002867,0.0000786,0.0007150,0.0010804
3200,0.0003032,0.0000783,0.0007522,0.0011337
3250,0.0003311,0.0000790,0.0007392,0.0011494
3300,0.0002916,0.0000845,0.0007725,0.0011486
3350,0.0003391,0.0000860,0.0007505,0.0011756
3400,0.0003244,0.0000859,0.0007740,0.0011843
3450,0.0003272,0.0000907,0.0007679,0.0011858
3500,0.0003339,0.0000939,0.0007804,0.0012081
3550,0.0003202,0.0000960,0.0007894,0.0012056
3600,0.0002816,0.0001016,0.0008250,0.0012082
3650,0.0003405,0.0000983,0.0007763,0.0012151
3700,0.0003372,0.0001000,0.0009509,0.0013881
3750,0.0003448,0.0001038,0.0008149,0.0012635
3800,0.0003945,0.0001057,0.0008136,0.0013138
3850,0.0002984,0.0001114,0.0008657,0.0012755
3900,0.0003554,0.0001104,0.0007984,0.0012641
3950,0.0003423,0.0001126,0.0008208,0.0012757
4000,0.0003543,0.0001137,0.0008556,0.0013236
4050,0.0003276,0.0001199,0.0008520,0.0012995
4100,0.0003035,0.0001208,0.0007669,0.0011912
4150,0.0003820,0.0001195,0.0008842,0.0013858
4200,0.0003258,0.0001233,0.0009080,0.0013571
4250,0.0003632,0.0001263,0.0008997,0.0013893
4300,0.0003109,0.0002056,0.0009121,0.0014286
4350,0.0004012,0.0001318,0.0008627,0.0013958
4400,0.0003141,0.0001395,0.0009332,0.0013868
4450,0.0004056,0.0001598,0.0011964,0.0017618
4500,0.0003620,0.0001353,0.0009107,0.0014081
4550,0.0003449,0.0001445,0.0008947,0.0013841
4600,0.0003709,0.0001421,0.0009016,0.0014146
4650,0.0003661,0.0001420,0.0009195,0.0014276
4700,0.0004026,0.0001460,0.0009691,0.0015177
4750,0.0003928,0.0001512,0.0009180,0.0014620
4800,0.0003435,0.0001522,0.0009296,0.0014253
4850,0.0004357,0.0002099,0.0010191,0.0016647
4900,0.0004334,0.0001547,0.0009982,0.0015863
4950,0.0003939,0.0001599,0.0009388,0.0014925
